id_recurso,data,datetime_captura,datetime_recurso,datetime_update,consorcio,servico,sentido,data_viagem,numero_relatorio_cimu,julgamento,motivo_julgamento,observacao_julgamento,data_julgamento
SMTR202303004924,2023-03-27,2024-02-14 00:00:00,2023-03-27 13:57:06,2024-02-13 13:46:46,Internorte,362,I,2023-02-05,7199,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-02-08 13:35:01
SMTR202303004926,2023-03-27,2024-02-14 00:00:00,2023-03-27 13:59:50,2024-02-13 13:46:49,Internorte,362,V,2023-02-05,7199,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004924",2024-02-08 13:35:04
SMTR202303004930,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:13:39,2024-02-13 13:46:52,Internorte,378,V,2023-02-05,7200,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-02-08 13:35:07
SMTR202303005004,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:05:11,2024-02-13 13:48:00,Transcarioca,774,V,2023-02-02,7091,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-02-08 13:37:00
SMTR202303004953,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:37:36,2024-02-13 13:46:55,Transcarioca,774,V,2023-02-03,7091,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2024-02-08 13:35:13
SMTR202303004993,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:01:07,2024-02-13 13:47:45,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:38
SMTR202303004969,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:45:34,2024-02-13 13:47:11,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:37
SMTR202303004979,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:52:12,2024-02-13 13:47:22,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:57
SMTR202303004971,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:48:55,2024-02-13 13:47:14,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:40
SMTR202303004989,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:58:35,2024-02-13 13:47:39,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:26
SMTR202303004995,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:01:56,2024-02-13 13:47:47,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:41
SMTR202303004984,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:55:34,2024-02-13 13:47:31,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:15
SMTR202303004960,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:43:33,2024-02-13 13:47:05,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:29
SMTR202303004976,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:50:15,2024-02-13 13:47:16,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:44
SMTR202303004997,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:02:43,2024-02-13 13:47:50,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:45
SMTR202303004982,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:54:45,2024-02-13 13:47:29,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:11
SMTR202303004977,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:51:04,2024-02-13 13:47:18,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:51
SMTR202303004980,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:53:03,2024-02-13 13:47:24,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:03
SMTR202303004985,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:56:34,2024-02-13 13:47:35,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:19
SMTR202303004956,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:40:22,2024-02-13 13:47:01,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:21
SMTR202303004955,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:38:54,2024-02-13 13:46:58,Transcarioca,774,I,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:17
SMTR202303005000,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:03:32,2024-02-13 13:47:53,Transcarioca,774,I,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:48
SMTR202303004987,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:57:33,2024-02-13 13:47:37,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:22
SMTR202303004990,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:59:31,2024-02-13 13:47:41,Transcarioca,774,I,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:31
SMTR202303004981,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:53:52,2024-02-13 13:47:26,Transcarioca,774,I,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:07
SMTR202303005002,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:04:20,2024-02-13 13:47:56,Transcarioca,774,I,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:52
SMTR202303004992,2023-03-27,2024-02-14 00:00:00,2023-03-27 15:00:10,2024-02-13 13:47:42,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:36:35
SMTR202303004966,2023-03-27,2024-02-14 00:00:00,2023-03-27 14:44:47,2024-02-13 13:47:08,Transcarioca,774,V,2023-02-03,7091,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202303004953",2024-02-08 13:35:33
SMTR202503003278,2025-03-15,2025-03-16 00:00:00,2025-03-15 16:52:06,2025-03-15 16:52:10,Santa Cruz,388,V,2025-03-14,67243,,,,
SMTR202503003282,2025-03-15,2025-03-16 00:00:00,2025-03-15 16:52:17,2025-03-15 16:52:18,Santa Cruz,SR388,V,2025-03-14,67244,,,,
SMTR202503003281,2025-03-15,2025-03-16 00:00:00,2025-03-15 16:52:14,2025-03-15 16:52:14,Santa Cruz,SR388,I,2025-03-14,67244,,,,
SMTR202503003277,2025-03-15,2025-03-16 00:00:00,2025-03-15 16:52:02,2025-03-15 16:52:03,Santa Cruz,388,I,2025-03-14,67243,,,,
SMTR202304010266,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:34:55,2024-02-13 15:47:17,Transcarioca,363,I,2023-03-18,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:33:42
SMTR202304010267,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:36:27,2024-02-13 15:47:23,Transcarioca,363,I,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:33:46
SMTR202304010268,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:37:48,2024-02-13 15:47:29,Transcarioca,363,I,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:33:50
SMTR202304010265,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:32:24,2024-02-13 15:47:12,Transcarioca,363,I,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:33:37
SMTR202304010269,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:39:13,2024-02-13 15:47:35,Transcarioca,363,I,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:33:53
SMTR202304010270,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:40:46,2024-02-13 15:47:40,Transcarioca,363,I,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:33:57
SMTR202304010272,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:44:04,2024-02-13 15:47:52,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:05
SMTR202304010277,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:48:45,2024-02-13 15:48:27,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:30
SMTR202304010273,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:45:29,2024-02-13 15:47:59,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:09
SMTR202304010278,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:49:50,2024-02-13 15:48:34,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:34
SMTR202304010276,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:48:02,2024-02-13 15:48:19,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:20
SMTR202304010274,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:46:29,2024-02-13 15:48:06,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:12
SMTR202304010271,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:43:18,2024-02-13 15:47:47,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:01
SMTR202304010280,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:51:31,2024-02-13 15:48:42,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:40
SMTR202304010275,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:47:12,2024-02-13 15:48:13,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:16
SMTR202304010279,2023-04-27,2024-02-14 00:00:00,2023-04-27 15:50:31,2024-02-13 15:48:37,Transcarioca,363,V,2023-03-21,11909,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2024-02-08 15:34:37
SMTR202505000286,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:15:12,2025-05-03 12:15:13,Internorte,313,C,2025-04-01,68566,,,,
SMTR202505000322,2025-05-03,2025-05-04 00:00:00,2025-05-03 19:38:46,2025-05-03 19:38:54,Internorte,313,C,2025-05-02,71658,,,,
SMTR202505000298,2025-05-03,2025-05-04 00:00:00,2025-05-03 18:02:25,2025-05-03 18:02:27,Internorte,679,C,2025-05-02,71659,,,,
SMTR202505000287,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:23:52,2025-05-03 12:23:54,Internorte,679,C,2025-05-03,71684,,,,
SMTR202505000288,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:27:02,2025-05-03 12:27:04,Internorte,621,C,2025-05-03,71686,,,,
SMTR202505000289,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:29:08,2025-05-03 12:29:09,Internorte,622,C,2025-05-03,71686,,,,
SMTR202505000290,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:32:53,2025-05-03 12:32:53,Internorte,312,C,2025-05-03,71687,,,,
SMTR202505000291,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:34:35,2025-05-03 12:34:36,Internorte,625,I,2025-05-03,71689,,,,
SMTR202505000293,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:46:57,2025-05-03 12:46:57,Internorte,625,I,2025-05-03,71690,,,,
SMTR202505000294,2025-05-03,2025-05-04 00:00:00,2025-05-03 12:51:11,2025-05-03 12:51:12,Internorte,622,I,2025-05-03,71691,,,,
SMTR202209011113,2022-09-30,2024-01-17 14:00:00,2022-09-30 16:44:18,2023-09-30 18:44:41,Intersul,112,V,2022-08-19,1032/2022,Indeferido,Recurso aberto em duplicidade,,2023-09-30 18:44:41
SMTR202209011111,2022-09-30,2024-01-17 14:00:00,2022-09-30 16:43:09,2023-09-30 18:44:41,Intersul,112,I,2022-08-19,1032/2022,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 18:44:41
SMTR202409004138,2024-09-30,2024-10-01 00:00:00,2024-09-30 09:02:18,2024-09-30 09:02:19,Santa Cruz,895,V,2024-09-29,54375,,,,
SMTR202409004134,2024-09-30,2024-10-23 00:00:00,2024-09-30 08:56:13,2024-10-22 11:50:31,Santa Cruz,895,V,2024-09-29,54374,,,,
SMTR202409004137,2024-09-30,2024-10-23 00:00:00,2024-09-30 08:58:43,2024-10-22 11:49:09,Santa Cruz,850,V,2024-09-29,54374,,,,
SMTR202408003900,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:52:39,2024-08-23 14:52:39,Intersul,104,V,2024-08-18,50897,,,,
SMTR202408003899,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:50:41,2024-08-23 14:50:41,Intersul,104,I,2024-08-18,50896,,,,
SMTR202408003898,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:48:54,2024-08-23 14:48:54,Intersul,104,V,2024-08-18,50893,,,,
SMTR202408003891,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:40:41,2024-08-23 14:40:42,Internorte,SVA665,V,2024-08-15,50678,,,,
SMTR202408003893,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:45:51,2024-08-23 14:45:52,Internorte,SVB665,V,2024-08-15,50679,,,,
SMTR202408003902,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:56:18,2024-08-23 14:56:19,Internorte,SVA665,I,2024-08-20,51055,,,,
SMTR202408003901,2024-08-23,2024-08-24 00:00:00,2024-08-23 14:54:39,2024-08-23 14:54:40,Internorte,665,I,2024-08-20,51054,,,,
SMTR202408003903,2024-08-23,2024-08-24 00:00:00,2024-08-23 15:01:42,2024-08-23 15:01:42,Internorte,SVB665,I,2024-08-20,51056,,,,
SMTR202408003850,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:38:40,2025-03-29 17:07:24,Intersul,474,I,2024-07-16,48312,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2025-03-24 16:48:30
SMTR202408003853,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:49:51,2025-03-29 17:07:24,Intersul,474,V,2024-07-17,48429,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2025-03-24 16:48:37
SMTR202408003857,2024-08-23,2025-03-30 00:00:00,2024-08-23 13:05:19,2025-03-29 17:07:25,Intersul,474,V,2024-07-19,48589,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2025-03-24 16:48:50
SMTR202408003844,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:36:04,2025-03-29 17:07:23,Internorte,457,I,2024-07-16,48313,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2025-03-24 16:48:27
SMTR202408003852,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:47:38,2025-03-29 17:07:24,Internorte,457,V,2024-07-17,48428,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,Aceito pelo CIMU.,2025-03-24 16:48:34
SMTR202408003821,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:20:11,2025-03-29 17:07:23,Intersul,474,I,2024-07-15,48210,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),CIMU incompatível com o serviço/data ou inexistente,2025-03-24 16:48:24
SMTR202408003855,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:55:17,2025-03-29 17:07:24,Intersul,474,V,2024-07-18,48518,Indeferido,Informação incompleta ou incorreta (Art. 5º § 2º Res. SMTR 3534 / 2022),Não aceito pelo CIMU,2025-03-24 16:48:43
SMTR202408003854,2024-08-23,2025-03-30 00:00:00,2024-08-23 12:53:25,2025-03-29 17:07:24,Internorte,457,V,2024-07-18,48517,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202407002872",2025-03-24 16:48:40
SMTR202408003856,2024-08-23,2025-03-30 00:00:00,2024-08-23 13:01:40,2025-03-29 17:07:25,Internorte,457,V,2024-07-19,48590,Indeferido,Recurso aberto em duplicidade,"Duplicado, considerado o ticket de número: SMTR202407003036",2025-03-24 16:48:47
SMTR202410004932,2024-10-26,2024-10-27 00:00:00,2024-10-26 14:54:26,2024-10-26 14:54:26,Internorte,483,V,2024-10-25,56354,,,,
SMTR202410004931,2024-10-26,2024-10-27 00:00:00,2024-10-26 14:52:47,2024-10-26 14:52:48,Internorte,483,I,2024-10-25,56354,,,,
SMTR202410004930,2024-10-26,2024-10-27 00:00:00,2024-10-26 14:51:19,2024-10-26 14:51:20,Internorte,SV483,I,2024-10-25,56353,,,,
SMTR202410004941,2024-10-26,2024-10-28 00:00:00,2024-10-26 22:09:39,2024-10-26 22:09:40,Internorte,497,I,2024-10-26,56363,,,,
SMTR202302001168,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:09:46,2023-09-30 17:44:00,Intersul,553,V,2023-01-01,4755,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:00
SMTR202302001174,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:12:18,2023-09-30 17:44:01,Intersul,554,V,2023-01-01,4756,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:01
SMTR202302001178,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:15:32,2023-09-30 17:44:03,Intersul,558,V,2023-01-01,4757,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:03
SMTR202302001185,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:20:44,2023-09-30 17:44:06,Intersul,552,V,2023-01-01,4760,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:06
SMTR202302001164,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:07:46,2023-09-30 17:43:59,Intersul,552,V,2023-01-01,4754,Indeferido,Recurso aberto em duplicidade,,2023-09-30 17:43:59
SMTR202302001161,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:07:13,2023-09-30 17:43:58,Intersul,552,I,2023-01-01,4754,Indeferido,Recurso aberto em duplicidade,,2023-09-30 17:43:58
SMTR202302001166,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:09:06,2023-09-30 17:43:59,Intersul,553,I,2023-01-01,4755,Indeferido,Recurso aberto em duplicidade,,2023-09-30 17:43:59
SMTR202302001176,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:14:55,2023-09-30 17:44:02,Intersul,558,I,2023-01-01,4757,Indeferido,Recurso aberto em duplicidade,,2023-09-30 17:44:02
SMTR202302001207,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:36:23,2023-09-30 17:44:13,Santa Cruz,379,I,2023-01-02,4919,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:13
SMTR202302001208,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:38:23,2023-09-30 17:44:13,Santa Cruz,389,I,2023-01-02,4920,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:13
SMTR202302001209,2023-02-06,2024-01-17 14:00:00,2023-02-06 13:40:20,2023-09-30 17:44:14,Santa Cruz,SV394,I,2023-01-02,4921,Deferido,Foi apresentado o Relatório do CIMU e foi contabilizada a diferença entre o apurado pelo algoritmo e a média histórica. (Res. SMTR 3521/2022) ,,2023-09-30 17:44:14
